course_code,professor_name,score,tier,missing,data_source,updated_at
CSE 123,"Shalev, Aaron D",3,FAIR,"no_evidence,thin_evidence(0)",browser_use,2026-04-05
CSE 132A,"Deutsch, Alin Bernard",3,FAIR,"no_evidence,thin_evidence(0)",browser_use,2026-04-05
ECON 100B,"Levkoff, Steven B.",3,FAIR,"no_evidence,thin_evidence(0)",browser_use,2026-04-05
MATH 103B,"Wesley, William J",3,FAIR,"no_evidence,thin_evidence(0)",browser_use,2026-04-05
MGT 128R,Viswanathan Krishnan,3,FAIR,"no_evidence,thin_evidence(0)",browser_use,2026-04-05
HILD 2C,"Hendrickson, Gerald M.",3,FAIR,"no_evidence,thin_evidence(0)",browser_use,2026-04-05
CSE 110,"Powell, Thomas Allan",3,FAIR,"no_evidence,thin_evidence(0)",browser_use,2026-04-05
MATH 170A,"Dumitriu, Ioana",3,FAIR,"no_evidence,thin_evidence(0)",browser_use,2026-04-05
MGT 128R,"Krishnan, Viswanathan",3,FAIR,"thin_evidence(2),no_grade_breakdown",tiered_pipeline,2026-04-14
CSE 120,"Chin, Bryan W.",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",tiered_pipeline,2026-04-14
COGS 1,"BARRERA, STEVEN JAMES",4,GOOD,no_grade_breakdown,prepopulate_job,2026-04-14
CSE 101,"LIU, QIPENG",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 101,"SAHA, BARNA",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 100,"CAO, YINGJUN",3,FAIR,"no_prof_info,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 100,"MOSHIRI, NIEMA",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 100,"SAHOO, DEBASHIS",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 100R,"MOSHIRI, NIEMA",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 100R,"SAHOO, DEBASHIS",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 101,"BACH, QUANG TRAN",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 101,"BRAUN, OLIVER",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 101,"BRIONES, JOR-EL THOMAS CAPARAS",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 101,"DASGUPTA, SANJOY",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 101,"IMPAGLIAZZO, RUSSELL",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 101,"JONES, MILES E",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 101,"KANE, DANIEL MERTZ",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
CSE 103,"FREUND, YOAV",0,POOR,"no_prof_info,no_evidence,thin_evidence(0),no_sentiment,no_grade_breakdown",prepopulate_job,2026-04-14
